time,drone_id,x,y,z
3.400,0,-0.996000,0.000000,0.800000
3.400,1,-0.196000,0.000000,0.800000
3.400,2,0.604000,0.000000,0.800000
3.400,3,1.404000,0.000000,0.800000
3.500,0,-0.990000,0.000000,0.800000
3.500,1,-0.190000,0.000000,0.800000
3.500,2,0.610000,0.000000,0.800000
3.500,3,1.410000,0.000000,0.800000
3.600,0,-0.984000,0.000000,0.800000
3.600,1,-0.184000,0.000000,0.800000
3.600,2,0.616000,0.000000,0.800000
3.600,3,1.416000,0.000000,0.800000
3.700,0,-0.978000,0.000000,0.800000
3.700,1,-0.178000,0.000000,0.800000
3.700,2,0.622000,0.000000,0.800000
3.700,3,1.422000,0.000000,0.800000
3.800,0,-0.972000,0.000000,0.800000
3.800,1,-0.172000,0.000000,0.800000
3.800,2,0.628000,0.000000,0.800000
3.800,3,1.428000,0.000000,0.800000
3.900,0,-0.966000,0.000000,0.800000
3.900,1,-0.166000,0.000000,0.800000
3.900,2,0.634000,0.000000,0.800000
3.900,3,1.434000,0.000000,0.800000
4.000,0,-0.960000,0.000000,0.800000
4.000,1,-0.160000,0.000000,0.800000
4.000,2,0.640000,0.000000,0.800000
4.000,3,1.440000,0.000000,0.800000
4.100,0,-0.954000,0.000000,0.800000
4.100,1,-0.154000,0.000000,0.800000
4.100,2,0.646000,0.000000,0.800000
4.100,3,1.446000,0.000000,0.800000
4.200,0,-0.948000,0.000000,0.800000
4.200,1,-0.148000,0.000000,0.800000
4.200,2,0.652000,0.000000,0.800000
4.200,3,1.452000,0.000000,0.800000
4.300,0,-0.942000,0.000000,0.800000
4.300,1,-0.142000,0.000000,0.800000
4.300,2,0.658000,0.000000,0.800000
4.300,3,1.458000,0.000000,0.800000
4.400,0,-0.936000,0.000000,0.800000
4.400,1,-0.136000,0.000000,0.800000
4.400,2,0.664000,0.000000,0.800000
4.400,3,1.464000,0.000000,0.800000
4.500,0,-0.930000,0.000000,0.800000
4.500,1,-0.130000,0.000000,0.800000
4.500,2,0.670000,0.000000,0.800000
4.500,3,1.470000,0.000000,0.800000
4.600,0,-0.924000,0.000000,0.800000
4.600,1,-0.124000,0.000000,0.800000
4.600,2,0.676000,0.000000,0.800000
4.600,3,1.476000,0.000000,0.800000
